,sentences1,sentences2,is_similar
48,he wondered if anyone would be upset if he told them he really did nt like being enveloped in smoke all that much ,they were feeling no pain  having sampled a bit from every one of the liquor bottles on the window sill ,1
49,he wondered if anyone would be upset if he told them he really did nt like being enveloped in smoke all that much ,we took a trip to a town for vacation ,0
50,here we are gathering to go into the reception ,smiling for a quick photo before we go in ,1
51,here we are gathering to go into the reception ,a bomb was made by this army ,0
52,smiling for a quick photo before we go in ,nothing like great food and conversation to make the reception go by faster ,1
53,smiling for a quick photo before we go in ,the couple went to an open house ,0
54,nothing like great food and conversation to make the reception go by faster ,bride and groom taking their twirl on the dance floor ,1
55,nothing like great food and conversation to make the reception go by faster ,so here we are  ready to hear what the government is up to these days ,0
56,bride and groom taking their twirl on the dance floor ,making everlasting memories ,1
57,bride and groom taking their twirl on the dance floor ,for the office halloween party a man s wife brought him a gorilla suit ,0
58,making everlasting memories ,hey  getting bored around here ,1
59,making everlasting memories ,the man walked the parade route to ensure everything was set up properly ,0
60,hey  getting bored around here ,time to living things up by blowing up a few balloons ,1
61,hey  getting bored around here ,this is a party that a my friends and i went to ,0
62,time to living things up by blowing up a few balloons ,just need to be goofy sometimes ,1
63,time to living things up by blowing up a few balloons ,the school for urban planning and architecture had their graduation on  female  3rd of 2011 ,0
64,just need to be goofy sometimes ,people are taking things a little too seriously ,1
65,just need to be goofy sometimes ,i posed with my son on his first day of school ,0
66,it was a beautiful wedding ceremony ,the ceremony was followed by a reception ,1
67,it was a beautiful wedding ceremony ,he could nt wait to get out on the lake with his family ,0
68,the ceremony was followed by a reception ,we had a choice of entrees ,1
69,the ceremony was followed by a reception ,today we had a cooking party ,0
70,we had a choice of entrees ,the fish was prepared elegantly ,1
71,we had a choice of entrees , male  is surprised he is having such a good night ,0
72,the fish was prepared elegantly ,the beef  too  was prepared in a fine manner ,1
73,the fish was prepared elegantly ,when i went out for a walk this morning i was taken aback by just how beautiful the snow was ,0
74,the beef  too  was prepared in a fine manner ,dessert was the best part ,1
75,the beef  too  was prepared in a fine manner ,the organization bus told us we were in the right place ,0
76,dessert was the best part ,simple and tasty ,1
77,dessert was the best part ,today i brought my family to a big festival ,0
78,community run by the community center to startit was a great turn out and amazing to see so many people participatei do nt know how they do iti d literally die running a mile ,men and women from all walks of life  large and small ,1
79,community run by the community center to startit was a great turn out and amazing to see so many people participatei do nt know how they do iti d literally die running a mile ,creating a geodesic dome out of glass is a painstaking process ,0
80,men and women from all walks of life  large and small ,one mile marker  wow look at that stride ,1
81,men and women from all walks of life  large and small ,the people who work for the county recorder s are a dedicated bunch and very patriotic ,0
82,one mile marker  wow look at that stride ,i  m not sure of the actual distance run or who was first through the finish linebut the picture i took was at 3532running that long is a work out i think ,1
83,one mile marker  wow look at that stride ,we spent the day at the park ,0
84,i  m not sure of the actual distance run or who was first through the finish linebut the picture i took was at 3532running that long is a work out i think ,many people coming in still after 35 minutes of runningthey all gave it a good try and did really well ,1
85,i  m not sure of the actual distance run or who was first through the finish linebut the picture i took was at 3532running that long is a work out i think ,getting out whole extended family together for one meal is a big production ,0
86,a group of fans came together one day to celebrate the opening of a new studio for an artist ,the artist provided champagne in flutes for everyone ,1
87,a group of fans came together one day to celebrate the opening of a new studio for an artist ,i went to the museum last week ,0
88,the artist provided champagne in flutes for everyone ,friends toasted and cheered the artist as she opened her new studio ,1
89,the artist provided champagne in flutes for everyone ,you come down the road through this neighborhood ,0
90,friends toasted and cheered the artist as she opened her new studio ,others ate from the buffet of hors doeuvres ,1
91,friends toasted and cheered the artist as she opened her new studio ,these friends were some kind of evil demons and demons ,0
92,others ate from the buffet of hors doeuvres ,everyone talked and had a great time with each other at the opening ,1
93,others ate from the buffet of hors doeuvres ,our home town is quaint ,0
94,our neighborhood was having a moonlight watch party ,we all bought glowsticks  so that we could all light up like moon ,1
95,our neighborhood was having a moonlight watch party ,i spent all day listening to the speaker talk ,0
96,we all bought glowsticks  so that we could all light up like moon ,earlier in the day  my husband took the kids sledding ,1
97,we all bought glowsticks  so that we could all light up like moon ,soldiers coming into a place of worship to carry on tradition ,0
98,earlier in the day  my husband took the kids sledding ,i was preparing some quick snacks for the moonlight party ,1
99,earlier in the day  my husband took the kids sledding ,the bride  groom  and others pose on stage for the wedding pictures ,0
100,i was preparing some quick snacks for the moonlight party ,i asked a couple of my neighbors to help me prepare the snack ,1
101,i was preparing some quick snacks for the moonlight party , female  loves to read so many books ,0
102,the family parked their airstream trailer ,grandpa could nt wait to start taking pictures ,1
103,the family parked their airstream trailer , male  and  female  decided to have a pumpkin carving contest ,0
104,grandpa could nt wait to start taking pictures ,the little girl just wanted to run ,1
105,grandpa could nt wait to start taking pictures ,just walked into the place to have something to eat and hang out a little ,0
106,the little girl just wanted to run ,she had a lot of energy ,1
107,the little girl just wanted to run ,we had so much fun at the halloween party ,0
108,she had a lot of energy ,soon  her footprints could be seen everywhere ,1
109,she had a lot of energy ,today i took the children to wood working ,0
110, female  and her friend had a night out on the town ,they met a lot of friendly people and took pictures with some of them ,1
111, female  and her friend had a night out on the town , female  had a business trip planned and headed for the airport the airplane was comfortable and she had a nice ride finally she landed right at dawn ,0
112,they met a lot of friendly people and took pictures with some of them ,they went to various different hot spots and partied the night away ,1
113,they met a lot of friendly people and took pictures with some of them ,our little girl is in love with hand painting ,0
114,they went to various different hot spots and partied the night away , female  came across her one of her other friends who was also out on the town ,1
115,they went to various different hot spots and partied the night away , male  moved to location this past weekend ,0
116, female  came across her one of her other friends who was also out on the town ,at the end of the night they were exhausted but they also had lots of fun ,1
117, female  came across her one of her other friends who was also out on the town ,my sister had a huge day yesterday downtown ,0
118,our first to location ,this was the place we stayed at ,1
119,our first to location ,i had a lot of work to do at the meeting ,0
120,this was the place we stayed at ,this was the site from our place ,1
121,this was the place we stayed at ,people cam from all over to honor their friend niel armstrong ,0
122,this was the site from our place ,we got to travel down this hil ,1
123,this was the site from our place ,a church was an odd place for this particular gathering ,0
124,we got to travel down this hil ,then we had to hike up the hill again,1
125,we got to travel down this hil ,someone is in the bushes ,0
126,the lincoln museum had a lot of information about his dead ,it had the train car key ,1
127,the lincoln museum had a lot of information about his dead ,i  ve always liked the city part at night ,0
128,it had the train car key ,it had a piece of the coffin handle that had been removed ,1
129,it had the train car key ,dads retirement party went really well ,0
130,it had a piece of the coffin handle that had been removed ,they had rope from the hanging of the conspirators ,1
131,it had a piece of the coffin handle that had been removed ,it had snowed  but the dog needed to be walked ,0
132,they had rope from the hanging of the conspirators ,they also had a lot of books written on the subject ,1
133,they had rope from the hanging of the conspirators ,just a get together  everyone s so happy ,0
134,ooh   male  s might make for a good meal ,stepping in and i  m excited for the choices ,1
135,ooh   male  s might make for a good meal ,it was a sunny day in gator nation we looked for t  shirt designs and saw an opportunity to get one air brushed my husband s idea of entertainment was to drink beer instead ,0
136,stepping in and i  m excited for the choices ,i  m so overwhelmed by the menu options but glad that they do nt just make two things ,1
137,stepping in and i  m excited for the choices ,it was a snowy day in the city ,0
138,i  m so overwhelmed by the menu options but glad that they do nt just make two things ,the food looks fresh and my mouth is getting watery ,1
139,i  m so overwhelmed by the menu options but glad that they do nt just make two things ,i work at a coffee shop ,0
140,the food looks fresh and my mouth is getting watery ,finally i have my food and i  m ready to pig out ,1
141,the food looks fresh and my mouth is getting watery , male  and  male  met up for a crazy night on the town ,0
142,no one cared about the parade  so police assistance was lax to say the least ,the marchers in the parade took everything seriously ,1
143,no one cared about the parade  so police assistance was lax to say the least ,the town was decorated for christmas ,0
144,the marchers in the parade took everything seriously ,unfortunately  no one came to watch them ,1
145,the marchers in the parade took everything seriously ,my aunt and uncle are enjoying themselves ,0
146,unfortunately  no one came to watch them ,the only feedback was from someone living nearby complaining about the sound of drumming ,1
147,unfortunately  no one came to watch them ,we had an old fashioned funeral for our grandmother today ,0
148,the only feedback was from someone living nearby complaining about the sound of drumming ,the mayor began to give a speech  but when a breeze came by and blew it away  he had to improvise ,1
149,the only feedback was from someone living nearby complaining about the sound of drumming ,they visited the tourist attraction on an overcast day ,0
150,today we went to the lake and attended a 4th fair ,after we headed to the dock ,1
151,today we went to the lake and attended a 4th fair ,last week i finally had a chance to wear my new costume ,0
152,after we headed to the dock ,we jumped in the water to take a swim and our friends went canoeing ,1
153,after we headed to the dock , male  had a cookout with all of his friends ,0
154,we jumped in the water to take a swim and our friends went canoeing ,after we went back to the fair to watch the fireworks show ,1
155,we jumped in the water to take a swim and our friends went canoeing ,the party was a big hit for everyone ,0
156,after we went back to the fair to watch the fireworks show ,we then went back to my house and had a party and had a fourth of july dessert ,1
157,after we went back to the fair to watch the fireworks show ,we went for a walk outside ,0
158,the conference was well attended and the audience was engaged ,dynamic speakers presented topics on technology ,1
159,the conference was well attended and the audience was engaged ,there were many cars on the road and they were all bunched up because the police came in their van while the people watched what was going on ,0
160,dynamic speakers presented topics on technology ,executives from organization ,1
161,dynamic speakers presented topics on technology ,the dj entertained that evening ,0
162,executives from organization ,addressed the audience ,1
163,executives from organization , female  and some of her friends went on a bunch of blind dates on week ,0
164,addressed the audience ,then they heard from executives from organization ,1
165,addressed the audience ,having some friends and family over for some quality time ,0
166,then they heard from executives from organization ,after a fulfilling day  everyone knew that they loved the internet even more ,1
167,then they heard from executives from organization ,the night sky lit up with fireworks ,0
168,arriving at the halloween bash  the man was excited ,lots of people dressed up this year ,1
169,arriving at the halloween bash  the man was excited ,it was a sunny day in gator nation we looked for t  shirt designs and saw an opportunity to get one air brushed my husband s idea of entertainment was to drink beer instead ,0
170,lots of people dressed up this year ,there were silly costumes ,1
171,lots of people dressed up this year ,each year location location location holds a halloween parade for it s guests ,0
172,there were silly costumes ,there were also extravagant ones ,1
173,there were silly costumes ,the career festival was a good opportunity for many people to find a new job ,0
174,there were also extravagant ones ,everyone was having a fun halloween ,1
175,there were also extravagant ones ,they picked the winners for the scholarships today ,0
176,together ,celebrating at our engagement party ,1
177,together ,i went to  female  s party last night and it was a mess ,0
178,celebrating at our engagement party ,this is my husband to be ,1
179,celebrating at our engagement party ,when i finally got to the wedding it was just in time ,0
180,this is my husband to be ,he always makes me smile ,1
181,this is my husband to be ,this halloween was so much fun seeing all the costumes that the families wore ,0
182,he always makes me smile ,my mother and father are sharing this special moment with me ,1
183,he always makes me smile ,we had the family over for dinner one night and i made turkey ,0
184,my mother and father are sharing this special moment with me ,i think we make a cute couple ,1
185,my mother and father are sharing this special moment with me ,we went for a walk down my street we found an ocean there was a lady praying she was at a grave by the water someone else was buried near by as well,0
186,i think we make a cute couple ,we will always be happy ,1
187,i think we make a cute couple ,there was a car show in the village center today ,0
188,this is where our family stayed on vacation ,we stopped to gas up and could nt believe the price of gas here ,1
189,this is where our family stayed on vacation ,i went to a flea market with some interesting pieces ,0
190,we stopped to gas up and could nt believe the price of gas here ,we were all so hungry we stopped at the local organization for a quick dinner ,1
191,we stopped to gas up and could nt believe the price of gas here ,i ordered a lot of food ,0
192,we were all so hungry we stopped at the local organization for a quick dinner ,we checked out this place called  the lakeside  it was pretty fancy ,1
193,we were all so hungry we stopped at the local organization for a quick dinner ,many people gathered today to honor the memory of yao minh ,0
194,we checked out this place called  the lakeside  it was pretty fancy ,this was the christmas tree in the lobby of our motel  they were getting into the christmas spirit ,1
195,we checked out this place called  the lakeside  it was pretty fancy ,mom  dad  and grandma all showed up for my graduation ,0
196,we were asked to join in the local parade in location ,they gave us some robes we could wear and keep ,1
197,we were asked to join in the local parade in location ,the amount of pictures to view from the cruise was overwhelming ,0
198,they gave us some robes we could wear and keep ,as we prepared  the streets filled up with people ,1
199,they gave us some robes we could wear and keep ,yan s dad brought his daughter to the pulpit as traditional in most weddings ,0
200,as we prepared  the streets filled up with people ,we chatted and got to know each other as we waited for it to start ,1
201,as we prepared  the streets filled up with people ,it was a beautiful wedding ceremony ,0
202,we chatted and got to know each other as we waited for it to start ,our role was to carry a palanquin through the streets ,1
203,we chatted and got to know each other as we waited for it to start ,when i was on vacation last week the town was very small ,0
204,our role was to carry a palanquin through the streets ,afterwards  we celebrated with some drinks and watched the rest of the parade ,1
205,our role was to carry a palanquin through the streets ,my husband made reservations for us at a very nice restaurant ,0
206, male  and  male  are talented artists ,they decided to throw a party so friends could come over and see their artwork ,1
207, male  and  male  are talented artists ,each year the organization club holds a birthday celebrating the uso anniversary ,0
208,they decided to throw a party so friends could come over and see their artwork ,the party goers were most impressed with how beautifully decorated the apartment was for the big event ,1
209,they decided to throw a party so friends could come over and see their artwork , male  thought it would be funny to play with the local pigs with his new toy ,0
210,the party goers were most impressed with how beautifully decorated the apartment was for the big event ,they had some snacks  drinks  and chatted a bit before admiring more of the beautiful sculptures in other rooms ,1
211,the party goers were most impressed with how beautifully decorated the apartment was for the big event , male  was ready to start class but the students were still coming in ,0
212,they had some snacks  drinks  and chatted a bit before admiring more of the beautiful sculptures in other rooms ,they loved the warm glow of the lights on the giant crucifix ,1
213,they had some snacks  drinks  and chatted a bit before admiring more of the beautiful sculptures in other rooms ,i stayed at a castle when i was on vacation last week ,0
214,they loved the warm glow of the lights on the giant crucifix ,it was a favorite of the guests ,1
215,they loved the warm glow of the lights on the giant crucifix ,the locals traveled the streets to get to the market ,0
216,it was a favorite of the guests ,the party was so successful  male  and  male  had to end it before guests decided to crash on  male  s elegant and very comfy bed ,1
217,it was a favorite of the guests , female  wanted a wholesome birthday party ,0
218,the bride was driving to the wedding ,the church where the wedding was being held was so beautiful ,1
219,the bride was driving to the wedding ,the shop had interesting collectibles ,0
220,the church where the wedding was being held was so beautiful ,after the wedding photos were taken with the bride and groom ,1
221,the church where the wedding was being held was so beautiful ,it was fun going to the market that day ,0
222,after the wedding photos were taken with the bride and groom ,then a photo to show there new rings ,1
223,after the wedding photos were taken with the bride and groom ,we arrived at nana s house around noon ,0
224,then a photo to show there new rings ,as the nite drew to a close the two enjoyed each other ,1
225,then a photo to show there new rings ,many people visit location  it is a beautiful place to go ,0
226,we wanted to get closer to nature so we took a grass pathway ,we got to the shaded area under some trees ,1
227,we wanted to get closer to nature so we took a grass pathway ,our day started by visiting a new museum ,0
228,we got to the shaded area under some trees ,a few miles away was a lake that we really enjoyed watching ,1
229,we got to the shaded area under some trees ,me and my lover went on a vacation to see some sights ,0
230,a few miles away was a lake that we really enjoyed watching ,my friend found this patch of grass ,1
231,a few miles away was a lake that we really enjoyed watching ,we took a bus out to the country side ,0
232,my friend found this patch of grass ,i was really amazed at the complexity of the trees ,1
233,my friend found this patch of grass ,the city was filled with a snow base ,0
234,picnic day with the family  this is gon na be fun ,here i am grilling these kids up some hot dogs ,1
235,picnic day with the family  this is gon na be fun , female  and  female  are having a great time at the carnival on the rides ,0
236,here i am grilling these kids up some hot dogs ,the kids are so well behaved  patiently waiting for the food ,1
237,here i am grilling these kids up some hot dogs ,the whole family met at their favorite restaurant ,0
238,the kids are so well behaved  patiently waiting for the food ,well  some of them are well behaved lol ,1
239,the kids are so well behaved  patiently waiting for the food ,the scenery is pure beauty right before we get to the dome in location ,0
240,well  some of them are well behaved lol ,he s too cute  he loves my cooking ,1
241,well  some of them are well behaved lol ,it was dad s 74 birthday ,0
242,governor  male  had an event scheduled ,when he arrived at his event he was escorted in by military men ,1
243,governor  male  had an event scheduled ,this is a class on robotics ,0
244,when he arrived at his event he was escorted in by military men ,he went to the serving line and ordered some food ,1
245,when he arrived at his event he was escorted in by military men ,they took an evening stroll to visit the downtown area of the irish city the beautiful windows and buildings afforded them a lovely scene ,0
246,he went to the serving line and ordered some food ,he even have the server a tip ,1
247,he went to the serving line and ordered some food ,many family members were their with their students  all excited ,0
248,he even have the server a tip ,the governor have a speech about healthcare ,1
249,he even have the server a tip ,everyone from the town gathered to attend the homeowner s association meeting ,0
250,the governor have a speech about healthcare ,after speech he stayed and talked to local people about their concerns ,1
251,the governor have a speech about healthcare , female  decided to go out to buy a new turtle for a friend ,0
252,after speech he stayed and talked to local people about their concerns ,as few of the residents presented him with a jacket to show their appreciation ,1
253,after speech he stayed and talked to local people about their concerns ,boom  boom  boom the fireworks sounded ,0
254,the group of friends decided to play a drinking game  they got their cups  and they started filling them up , male  got the funnel out and then he got his wife to try it ,1
255,the group of friends decided to play a drinking game  they got their cups  and they started filling them up ,the three best friends stand together for a photo right before their prom ,0
256, male  got the funnel out and then he got his wife to try it ,it was a great night filled with alcohol and laughs ,1
257, male  got the funnel out and then he got his wife to try it ,i went to my friend s party last night ,0
258,the lighthouse was tall and white ,there were a lot of people gathered in town ,1
259,the lighthouse was tall and white ,there is something about a small farm that i like ,0
260,there were a lot of people gathered in town ,some men were showing demonstrations ,1
261,there were a lot of people gathered in town ,i went to visit the cemetery yesterday to pay my respects ,0
262,some men were showing demonstrations ,some of the areas were really interesting to walk through ,1
263,some men were showing demonstrations ,i went to a club the other night ,0
264,some of the areas were really interesting to walk through ,in all the stone and gray around  it was nice to see some color ,1
265,some of the areas were really interesting to walk through ,a very sad day of a funeral ,0
266,the party had the normal party elements of music and drinking ,some of the guests partied harder than others ,1
267,the party had the normal party elements of music and drinking ,i went to a girls rugby match today ,0
268,some of the guests partied harder than others ,a few of the guests were lost and in found themselves in the wrong place ,1
269,some of the guests partied harder than others ,my hobby is gardening ,0
270,a few of the guests were lost and in found themselves in the wrong place ,normal party activities included drinking too much ,1
271,a few of the guests were lost and in found themselves in the wrong place ,we went for a walk in the woods ,0
272,normal party activities included drinking too much ,maybe driving home is not such a great idea ,1
273,normal party activities included drinking too much ,fireworks are an american tradition ,0
274,we took the kids to a science museum ,they got to play with education  hands on ,1
275,we took the kids to a science museum ,we took a trip to the mountains ,0
276,they got to play with education  hands on ,the instructors were eager to talk to them about their specialities ,1
277,they got to play with education  hands on ,decided to take a day trip out with the family ,0
278,the instructors were eager to talk to them about their specialities ,there was an egg machine that would tell if they were fertilized or now ,1
279,the instructors were eager to talk to them about their specialities ,halloween was not that interesting for her  so she did nt bother dressing up ,0
280,there was an egg machine that would tell if they were fertilized or now ,the body fat exhibit was a favorite for the boys who thought it was funny ,1
281,there was an egg machine that would tell if they were fertilized or now ,my family and i got together for dinner ,0
282, female  presented her experience running a retail store this morning to business students ,she started off with personal experiences ,1
283, female  presented her experience running a retail store this morning to business students ,we are making an asian meal today  first we cook the greens then we cook the pork ,0
284,she started off with personal experiences ,she opened up the discussion to the students ,1
285,she started off with personal experiences ,the drinks were cold and numerous throughout our halloween ,0
286,she opened up the discussion to the students ,one of the questioners was a former employee that was let go ,1
287,she opened up the discussion to the students ,graduates file onto the field for their graduation ceremony ,0
288,one of the questioners was a former employee that was let go ,it made  female  realize what a small world it truly is ,1
289,one of the questioners was a former employee that was let go ,she showed up to the product market ,0
290,we spent the weekend at the lake ,first we went swimming from the dock ,1
291,we spent the weekend at the lake ,having a few friends over for a back to school party makes good memories ,0
292,first we went swimming from the dock ,diving and swimming ,1
293,first we went swimming from the dock ,my family threw me a surprise party this weekend ,0
294,diving and swimming ,we stayed in our family cabin ,1
295,diving and swimming ,my friends were able to coax me into attending their halloween party ,0
296,we stayed in our family cabin ,the views from the shore are beautiful ,1
297,we stayed in our family cabin , male  and  female  were going for a hike in the woods ,0
298,the views from the shore are beautiful ,we spent the evenings relaxing and enjoying the great outdoors ,1
299,the views from the shore are beautiful ,today we all gathered around for the 4th of july biker rally ,0
300,the park was filled with beauty ,there was a stream beneath rocks ,1
301,the park was filled with beauty ,the rickety old bridge had been there for as long as anyone could remember ,0
302,there was a stream beneath rocks ,and wooden structures that supported plants ,1
303,there was a stream beneath rocks ,last week we had a pizza party for the class for halloween ,0
304,and wooden structures that supported plants ,the two wondered how to spend the afternoon in such a serene place ,1
305,and wooden structures that supported plants ,there was record snowfall this year ,0
306,the two wondered how to spend the afternoon in such a serene place ,they opted for a nap ,1
307,the two wondered how to spend the afternoon in such a serene place ,it s parade day  and the whole town turns out to watch ,0
308,i went to a little aquatic zoo today ,the first thing i saw was this huge turtle ,1
309,i went to a little aquatic zoo today ,today there was a race ,0
310,the first thing i saw was this huge turtle ,this gecko was nt part of the aquarium but i saw it walking around ,1
311,the first thing i saw was this huge turtle ,the people gathered to enjoy some professional wrestling ,0
312,this gecko was nt part of the aquarium but i saw it walking around ,they even had various seafood around to feed the bigger aquatic mammals ,1
313,this gecko was nt part of the aquarium but i saw it walking around ,the friends were all dressed up for halloween ,0
314,they even had various seafood around to feed the bigger aquatic mammals ,i managed to get this souvenir turtle ,1
315,they even had various seafood around to feed the bigger aquatic mammals ,i was planning on celebrating halloween alone at a local diner ,0
316,a horse drawn wagon prepares to assist in a western themed funeral ,the family of the deceased takes a group photo at the funeral home ,1
317,a horse drawn wagon prepares to assist in a western themed funeral ,it is st   male  s day ,0
318,the family of the deceased takes a group photo at the funeral home ,the casket is rolled out of the funeral home ,1
319,the family of the deceased takes a group photo at the funeral home ,cycling is very popular in our city ,0
320,the casket is rolled out of the funeral home ,the casket it loaded onto the old wagon ,1
321,the casket is rolled out of the funeral home ,reading a magazine in his tent ,0
322,the casket it loaded onto the old wagon ,horses replace cars as the funeral procession travels down the street ,1
323,the casket it loaded onto the old wagon ,today i had a bunch of friends over for a party ,0
324,we were on our way to the party we were so excited to have arrived there people of all ages were having a good time ,it was nice having everyone gather together ,1
325,we were on our way to the party we were so excited to have arrived there people of all ages were having a good time ,this is  female  s house ,0
326,it was nice having everyone gather together ,then some guy started singing ,1
327,it was nice having everyone gather together ,it was career day  how exciting ,0
328,i own a four  acre four in location location  location ,we grow a lot of corn and tomatoes  but also have a good deal of open terrain ,1
329,i own a four  acre four in location location  location ,the group took mushrooms they all got wierd everyone was having so much fun there was funny stuff happening but this picture is great,0
330,we grow a lot of corn and tomatoes  but also have a good deal of open terrain ,on the weekends i sell our vegetables at a local market ,1
331,we grow a lot of corn and tomatoes  but also have a good deal of open terrain ,my friends and i all dressed for a party ,0
332,on the weekends i sell our vegetables at a local market ,the market features a statue of location s first governor on the outside of the building ,1
333,on the weekends i sell our vegetables at a local market ,i went to the ball game with my family last week ,0
334,the market features a statue of location s first governor on the outside of the building ,if you look at the building from afar  it s pretty plain ,1
335,the market features a statue of location s first governor on the outside of the building ,it s time to pick teams for war again ,0
336,we had a lot of work to do today ,there were many service members there ,1
337,we had a lot of work to do today ,we had a very nice table to sit at for our meal ,0
338,there were many service members there ,i had a great time at the office ,1
339,there were many service members there ,the family is celebrating the wedding with a reception ,0
340,i had a great time at the office ,i was escorted back home ,1
341,i had a great time at the office ,today was the day  male  would be come a super hero but he needed a costume  so he looked online for some help ,0
342,i was escorted back home ,they were very serious ,1
343,i was escorted back home ,the winter irish parade took place in december ,0
344,i got the opportunity to take a tour of a 16th century church ,the church had huge stained glass panels that were amazing ,1
345,i got the opportunity to take a tour of a 16th century church ,historic papers had a history to tell ,0
346,the church had huge stained glass panels that were amazing ,the glass panels had many different depictions of scenes from the bible ,1
347,the church had huge stained glass panels that were amazing ,i love animals and i like coming to the zoo to see my favorite ones ,0
348,the glass panels had many different depictions of scenes from the bible ,i was amazed at the attention to detail in the panels ,1
349,the glass panels had many different depictions of scenes from the bible ,the dj entertained that evening ,0
350,i was amazed at the attention to detail in the panels ,my favorite was the glass panel at the back of the church that took up the entire wall ,1
351,i was amazed at the attention to detail in the panels ,there was an auto race out on the dirt track in the hill country ,0
352,there was a bicycle event today ,some of the bikers even dressed up ,1
353,there was a bicycle event today ,there were a lot of people at the fair ,0
354,some of the bikers even dressed up ,this one in particular dressed up as a werewolf ,1
355,some of the bikers even dressed up ,my sister had to make sure that she got a dance in with all of our brothers ,0
356,this one in particular dressed up as a werewolf ,other people had funny looking outfits as well ,1
357,this one in particular dressed up as a werewolf ,first grade graduation day ,0
358,other people had funny looking outfits as well ,overall  it was a fun experience ,1
359,other people had funny looking outfits as well , male  decided to go on a trip to see some car races in location ,0
360,we approached the property that was to be our vacation home ,a nice tall hedge tunnel leads from back yard to garden ,1
361,we approached the property that was to be our vacation home ,today my band played live ,0
