,sentences1,sentences2,is_similar
117,ooh might make,everyone was excited to be heading to the halloween party,0
118,stepping for,overwhelmed,1
119,stepping for,it was graduation day for,0
120,overwhelmed,the food looks fresh mouth is getting watery,1
121,overwhelmed,this place is a dump,0
122,the food looks fresh mouth is getting watery,i have and i m ready pig,1
123,no one cared about the parade was lax to say the least,the marchers took everything,1
124,no one cared about the parade was lax to say the least,this church holds a dance,0
125,the feedback was from someone living complaining about the sound of drumming,he had to improvise,1
126,the feedback was from someone living complaining about the sound of drumming,have a big 4th july party,0
127,the conference was attended,dynamic speakers presented topics on technology,1
128,the conference was attended,the bar was not full,0
129,addressed the audience,heard,1
130,addressed the audience,i took some photos of the signs,0
131,heard,everyone knew,1
132,heard,found the halloween party,0
133,arriving man was,lots,1
134,arriving man was,the wedding reception was really,0
135,lots,there were silly costumes,1
136,lots,we re setting up our home business,0
137,there were silly costumes,there were extravagant ones,1
138,there were silly costumes,the party was starting,0
139,there were extravagant ones,everyone was having a halloween,1
140,there were extravagant ones,there were people relaxing in the living room,0
141,together,celebrating at our engagement party,1
142,together,everyone was gathered at my best friend s house,0
143,celebrating at our engagement party,this is my husband to be,1
144,celebrating at our engagement party, male we whipped up a batch of green eggs and ham,0
145,this is my husband to be,he always makes me smile,1
146,this is my husband to be,a pride parade occurred in my hometown,0
147,he always makes me smile,my mother and father are sharing,1
148,he always makes me smile,was but nobody showed,0
149,my mother and father are sharing,i,1
150,my mother and father are sharing,the group arrived to relay race,0
151,i,we will always be happy,1
152,i,is an artist,0
153,we,we checked out this place called the lakeside,1
154,we,we spruce up the by planting small trees along the road,0
155,we checked out this place called the lakeside,this  they were getting into the christmas spirit,1
156,we checked out this place called the lakeside,on my way to the function,0
157,we were asked to join,gave some robes,1
158,we were asked to join,the candidate met,0
159,we chatted to know,our role was to carry a palanquin,1
160,we chatted to know,the fair was we decided to go,0
161,our role was to carry a palanquin,afterwards  we celebrated the rest of the parade,1
162,our role was to carry a palanquin,the,0
163,artists,a friends come,1
164,artists,a friend sent on how to make a halloween mask,0
165,a friends come,the party goers were most impressed with how beautifully decorated the apartment was,1
166,a friends come,people cam from over to honor their friend,0
167,the party goers were most impressed with how beautifully decorated the apartment was,they had some snacks  and,1
168,the party goers were most impressed with how beautifully decorated the apartment was,was bad,0
169,they had some snacks  and,they loved the warm glow of the lights the crucifix,1
170,they had some snacks  and,i threw a party,0
171,they loved the warm glow of the lights the crucifix,it was a favorite of the guests,1
172,they loved the warm glow of the lights the crucifix,this year s 4th celebration was spectacular,0
173,it was a favorite of the guests,the party was so successful,1
174,it was a favorite of the guests,i waited in line at the party i,0
175,the bride was driving to the wedding,the church,1
176,the bride was driving to the wedding,today i m running,0
177,the church,were,1
178,the church,our town was hit with a storm,0
179,were,a photo to show there new rings,1
180,were,a deer follows a man,0
181,we wanted to get closer to nature,we got under some trees,1
182,we wanted to get closer to nature,our sports gathering party was a lot of fun,0
183,we got under some trees,away was a lake we,1
184,we got under some trees,my ship visited  and i was able to go ashore,0
185,away was a lake we,my friend found this patch of grass,1
186,away was a lake we,the group arrived to relay race,0
187,my friend found this patch of grass,i was really amazed the complexity of the trees,1
188,my friend found this patch of grass,started the day with,0
189,this is gon na be fun,i am grilling these kids up some hot dogs,1
190,this is gon na be fun,we passed structures were around the lake,0
191,i am grilling these kids up some hot dogs,the kids are so behaved,1
192,i am grilling these kids up some hot dogs,two guys decided to throw a gold party,0
193,the kids are so behaved,some of are well behaved lol,1
194,the kids are so behaved,we decorated cookies,0
195,some of are well behaved lol,he s too cute ,1
196,some of are well behaved lol,it is dinnertime,0
197,he arrived he was escorted in,he went to the serving line,1
198,he arrived he was escorted in,there was no to out hard,0
199,he went to the serving line,the server a tip,1
200,he went to the serving line,insisted,0
201,the server a tip,the governor have a speech about healthcare,1
202,the server a tip,we hiked out to the nearby lake,0
203,the governor have a speech about healthcare,he stayed and talked to local people about their concerns,1
204,the governor have a speech about healthcare,to the location location,0
205,he stayed and talked to local people about their concerns,with a,1
206,he stayed and talked to local people about their concerns,a room the has one could think of,0
207,the group decided to play a drinking game  they got their cups,got out he got his wife,1
208,the group decided to play a drinking game  they got their cups,a man was sitting at his house,0
209,got out he got his wife,it was a great night filled,1
210,got out he got his wife,they they to stop and refuel at the station they visited the,0
211,the lighthouse was tall,there were,1
212,the lighthouse was tall,was  and the family decided to trick,0
213,there were,some men were showing demonstrations,1
214,there were,the parade of classes is a big day,0
215,some men were showing demonstrations,some were interesting to walk through,1
216,some men were showing demonstrations,my husband and i are,0
217,some were interesting to walk through,it was nice to see some color,1
218,some were interesting to walk through,having a good time,0
219,the party had the party elements of music,some guests partied harder,1
220,the party had the party elements of music,a dinner at the sandwich shop,0
221,some guests partied harder,a few of the guests were lost and in found in the wrong place,1
222,some guests partied harder,the couple plans to exchange their vows,0
223,a few of the guests were lost and in found in the wrong place,party activities included drinking too much,1
224,a few of the guests were lost and in found in the wrong place,the young couple sat down to have a dinner,0
225,party activities included drinking too much,is not such a great idea,1
226,party activities included drinking too much,guests arrive for the costume party,0
227,we took the kids to a science museum,they got to play  on,1
228,we took the kids to a science museum,orientation day,0
229,they got to play  on,the instructors were eager to talk about their specialities,1
230,they got to play  on,i volunteered at our special olympics competition,0
231,the instructors were eager to talk about their specialities,there was an egg machine that would tell if they were fertilized,1
232,the instructors were eager to talk about their specialities,asian subways always impress,0
233,there was an egg machine that would tell if they were fertilized,the fat exhibit was a favorite,1
234,there was an egg machine that would tell if they were fertilized,there is a display to choose,0
235,her experience running a retail store to business students,she started off,1
236,her experience running a retail store to business students,the party started outdoors in preparation,0
237,she started off,she opened up the discussion to the students,1
238,she started off,this was a picture taken ago,0
239,she opened up the discussion to the students,was let go,1
240,she opened up the discussion to the students,there was an event on the docks,0
241,was let go,made realize what a small world it truly is,1
242,was let go,the community had a a thon,0
243,we spent the weekend at the lake,we went swimming from the dock,1
244,we went swimming from the dock,diving and swimming,1
245,we went swimming from the dock,our friends gathered together for some food after work,0
246,diving and swimming,we,1
247,diving and swimming,granny  her book for hours,0
248,we,the views from the shore are beautiful,1
249,we,girl was nt a fan of the,0
250,the views from the shore are beautiful,we relaxing enjoying the great outdoors,1
251,the views from the shore are beautiful,the teacher posed happily,0
252,the park was filled with beauty,there was a stream,1
253,the park was filled with beauty,loved being on his soccer team,0
254,there was a stream,and wooden structures that supported,1
255,there was a stream,it was going to be a great day,0
256,and wooden structures that supported,the two wondered how to spend the afternoon,1
257,and wooden structures that supported,two women sit at a restaurant table,0
258,the two wondered how to spend the afternoon,they opted for a nap,1
259,the two wondered how to spend the afternoon,were ready for a night on the town,0
260,i went to a aquatic zoo,the first thing,1
261,i went to a aquatic zoo,the woman dressed up as a cat,0
262,they had seafood,i managed to get this souvenir,1
263,a horse drawn wagon prepares to assist,the family the takes a group photo,1
264,a horse drawn wagon prepares to assist,everyone filed in to see the presentation,0
265,the family the takes a group photo,the casket is rolled out of the funeral home,1
266,the casket is rolled out of the funeral home,the casket it loaded,1
267,the casket is rolled out of the funeral home,penelope i took her photo,0
268,the casket it loaded,horses replace cars the funeral procession,1
269,the casket it loaded,the boys posed cool for the picture,0
270,we were to the party we were excited to have arrived,was nice,1
271,we were to the party we were excited to have arrived,the tomy featured pages of wonderful toys,0
272,was nice,some guy started singing,1
273,was nice,can be a,0
274,i own four,a good deal of open terrain,1
275,i own four,she loved her aunt,0
276,a good deal of open terrain,i sell our vegetables at a local market,1
277,a good deal of open terrain,the sisters had a great time,0
278,i sell our vegetables at a local market,the market features a statue of location s first governor,1
279,i sell our vegetables at a local market,i d my wife to break into underwear modeling,0
280,the market features a statue of location s first governor,it s pretty plain,1
281,the market features a statue of location s first governor,every the family would get together and carve pumpkins,0
282,i had a time the office,i was escorted back home,1
283,i had a time the office,we work to help feed,0
284,i was escorted back home,were,1
285,i was escorted back home,when the zombie apocalypse hit,0
286,i got the opportunity to take a tour of a century church,the church had stained glass panels,1
287,i got the opportunity to take a tour of a century church,grandma made it so fun for the grand kids,0
288,the church had stained glass panels,the glass panels had depictions of scenes,1
289,the church had stained glass panels,this is my uncle,0
290,the glass panels had depictions of scenes,i was amazed in the panels,1
291,the glass panels had depictions of scenes,it s time for our drum circle,0
292,i was amazed in the panels,my favorite was the glass panel,1
293,there was,some bikers dressed up,1
294,there was,my family and i went,0
295,some bikers dressed up,this one dressed up as a werewolf,1
296,some bikers dressed up,having a wonderful dinner,0
297,this one dressed up as a werewolf,people had funny looking outfits,1
298,this one dressed up as a werewolf,i love sitting fireplace  looking at the christmas tree,0
299,people had funny looking outfits,it was,1
300,people had funny looking outfits,it was time to go to the parade,0
301,the our vacation home,a tunnel leads from back yard to garden,1
302,the our vacation home,we set up the bird before we shoved,0
303,a tunnel leads from back yard to garden,a large hallway house,1
304,a tunnel leads from back yard to garden,the god of fog and mist was angry,0
305,a large hallway house,an awesome looking view from this window,1
306,a large hallway house,the conference was attended,0
307,what a blessed event our marriage was,we danced at the reception  though some were to dance,1
308,what a blessed event our marriage was,the kids grabbed made up s,0
309,we danced at the reception  though some were to dance,that s the family portrait,1
310,we danced at the reception  though some were to dance,the family gathered for dinner,0
311,that s the family portrait,we are blessed,1
312,that s the family portrait,this is the dental museum,0
313,we are blessed,that s,1
314,we are blessed,the friends went on a night time,0
315,we went a gorgeous snow city,we made tracks in the snow a walk,1
316,we went a gorgeous snow city,they committee,0
317,we made tracks in the snow a walk,we found a breathtaking bridge with snow,1
318,we made tracks in the snow a walk,we had a,0
319,we found a breathtaking bridge with snow,the snow on the trees was awesome to see in the park,1
320,we found a breathtaking bridge with snow,the bicycle park at the train can be busy,0
321,the snow on the trees was awesome to see in the park,we spent putting a,1
322,the snow on the trees was awesome to see in the park,people gather waiting for the fireworks,0
323,he s clearly pleased with the prospect of being treated,he ordered liberally,1
324,he s clearly pleased with the prospect of being treated,we went for a,0
325,he ordered liberally,this was just the,1
326,he ordered liberally,what a beautiful church for,0
327,this was just the,he could nt take my request to take a picture of the occasion,1
328,this was just the,the team geared up for the science convention,0
329,he could nt take my request to take a picture of the occasion,we,1
330,he could nt take my request to take a picture of the occasion,the grades had worked hard,0
331,we,succumb to the temptation of live nude dancing,1
332,we,we had a great,0
333,succumb to the temptation of live nude dancing,at least not on this afternoon,1
334,succumb to the temptation of live nude dancing,i arrived at,0
335,visiting and moving into new apartment,checking out the kitchen,1
336,visiting and moving into new apartment,re  enactors show their costumes,0
337,checking out the kitchen,new bedroom backslash made out of bricks,1
338,checking out the kitchen,our business hosted at a hotel,0
339,new bedroom backslash made out of bricks,cool square lighting in the living room,1
340,new bedroom backslash made out of bricks,people were walking and seeing the flags going,0
341,cool square lighting in the living room,fire escape plans  and emergency exit,1
342,cool square lighting in the living room,this lady is graduating,0
343,we took a through a park,this sign was interesting,1
344,we took a through a park,is s getting married,0
345,this sign was interesting,would be digging,1
346,this sign was interesting,the speaker had freight so was nervous about his business presentation,0
347,would be digging,serene,1
348,would be digging,this our first trip to an island,0
349,i was on a mission to rescue the princess,i had to seek out a source on the whereabouts,1
350,i was on a mission to rescue the princess,there were posters brought to the event,0
351,i had to seek out a source on the whereabouts,i met some resistance,1
352,i had to seek out a source on the whereabouts,the,0
353,i met some resistance,but i was,1
354,i met some resistance,i was excited to be heading to the crafts fair,0
355,but i was,i found the and she was very glad i rescued her,1
356,but i was,was taking some,0
357,love this style of french location,cool designs are comfortable,1
358,love this style of french location,the graduation ceremony was beautiful,0
359,cool designs are comfortable,i do nt like traffic circles,1
360,cool designs are comfortable,they filled the street overhead,0
361,i do nt like traffic circles,these look creepy,1
362,i do nt like traffic circles,we took a tour of the organization campus,0
363,these look creepy,is nt,1
364,these look creepy,testing a game design,0
365,is nt,i could live,1
366,is nt,meeting trying to gather ideas for our new product,0
367,we,this man had the,1
368,we,the cousins get together  it a,0
369,this man had the,will,1
370,this man had the,we,0
371,will,these ladies wanted to show the programs for a cause,1
372,will,i was not feeling well and my doctor admited into the hospital,0
373,they could see a vast mountain,was ready to get home and rest,1
374,they could see a vast mountain,took to shay rouge,0
375,male won the running race,made over the bar,1
376,male won the running race,they took a lot of pictures,0
377,made over the bar,the,1
378,made over the bar,this halloween was fun seeing the costumes,0
379,people showed up for the lawn game party,everyone is chatting awhile before the lawn games start,1
380,people showed up for the lawn game party,i ve decided to collect old magazine ads and articles  photos,0
381,everyone is chatting awhile before the lawn games start,i up,1
382,everyone is chatting awhile before the lawn games start,we walked through the yard,0
383,i up,we are set to start,1
384,i up,grandma was ready for the day,0
385,we are set to start,let the games,1
386,we are set to start,graduation,0
387,i sat,i had my friend come and light some candles,1
388,i sat,the pirates prepared themselves  masks,0
389,i had my friend come and light some candles,they made,1
390,i had my friend come and light some candles,some of the organization workers smile for the camera,0
391,they made,i while i,1
392,they made,the group arrived to relay race,0
393,i while i,i was starving they brought the food,1
394,i while i,the family gathered for dinner,0
395,friends of all sizes decided to goof off today,the drinks had may have had something to do,1
396,friends of all sizes decided to goof off today,it was japanese culture,0
397,the drinks had may have had something to do,facial expressions were made,1
398,the drinks had may have had something to do,so today was our big reward celebration,0
399,facial expressions were made,funny faces could not be controlled,1
400,facial expressions were made,i went to the store,0
401,funny faces could not be controlled,goofy outfits appeared,1
402,funny faces could not be controlled,the couple posing with the brides father,0
403,the moon was in the sky,were the flying hot,1
404,the moon was in the sky,started off by painting her nails,0
405,were the flying hot,but the dogs were,1
406,were the flying hot,we took cool looking train,0
407,but the dogs were,and released,1
408,but the dogs were,the family sits for dinner on the first night,0
409,today was graduation day for organization organization organization,all were to be graduated on the football field,1
410,today was graduation day for organization organization organization,male loves to throw movie parties,0
411,she is with her father could nt be prouder,she can get out of the,1
412,she is with her father could nt be prouder,we expected to see some modern things,0
413,she can get out of the,you re next,1
414,she can get out of the,it was day,0
415,are our tryouts for 2015 girls and boys basketball,these are,1
416,are our tryouts for 2015 girls and boys basketball,the queens drama club was ready,0
417,these are,they are gon na work,1
418,these are,night s halloween,0
419,they are gon na work,are the guys and they are bit,1
420,they are gon na work,we went for a,0
421,are the guys and they are bit,look at those,1
422,are the guys and they are bit,we and started the engine,0
423,look at those,the skills on these guys will prove we will prevail both boys and girls,1
424,look at those,we decided to take a walk through downtown,0
425,the skills on these guys will prove we will prevail both boys and girls,are the cheerleaders cheering on in,1
426,the skills on these guys will prove we will prevail both boys and girls,grandma was admitted to the hospital,0
427,i went to a party,all my friends were there,1
428,i went to a party,filming a documentary,0
429,all my friends were there,we,1
430,all my friends were there,the family is exploring the night scene,0
431,we,one brought his guitar and played,1
432,we,the school buses take the kids on a trip city,0
433,one brought his guitar and played,we had fun and we laughed all,1
434,one brought his guitar and played,there are empty glasses on the table after,0
435,the photographer of the series thought,she but black,1
436,the photographer of the series thought,we took some photos,0
437,she but black,many of her photographs were patterns and she offered explanations,1
438,she but black,the season was full swing,0
439,many of her photographs were patterns and she offered explanations,the people photographed that brought light to the pictures,1
440,many of her photographs were patterns and she offered explanations,grandma made it so fun for the grand kids,0
441,the people photographed that brought light to the pictures,the photograph she took was still quite unusual,1
442,the people photographed that brought light to the pictures,the band has a gig tonight,0
443,these men are hard workers,they work on a car engine,1
444,these men are hard workers,i decided to take my car to the race track,0
445,they work on a car engine,the men dig and pick at the ground to get it flat,1
446,they work on a car engine,is surprised he is having a good night,0
447,the men dig and pick at the ground to get it flat,they they have,1
448,the men dig and pick at the ground to get it flat,we took a tour,0
449,they they have,they are ready for whatever the day brings,1
450,today was our botany hike,not sure what it is  bu it looked pretty,1
451,today was our botany hike,we visited and loved every minute,0
452,not sure what it is  bu it looked pretty,banana slug picture  see,1
453,not sure what it is  bu it looked pretty,we had a lot of fun the work party,0
454,banana slug picture  see,plant growing on a rocky area,1
455,banana slug picture  see,my best friend  is getting married,0
456,plant growing on a rocky area,found these two species the,1
457,plant growing on a rocky area,everyone lines up before the race starts,0
458,i started to panera,i ordered a lettuce sandwich,1
459,i started to panera,the big day has finally,0
460,i ordered a lettuce sandwich,i made  i was greeted,1
461,i ordered a lettuce sandwich,li and her father she would looked  could nt get a good shot,0
462,i made  i was greeted,i had to dig through a lot of my belongings,1
463,i made  i was greeted,the place cards had been laid,0
464,i had to dig through a lot of my belongings,i found,1
465,i had to dig through a lot of my belongings,it was a nice day,0
466,i had a time watching,was a close game,1
467,i had a time watching,the voodoo lounge is open only one,0
468,was a close game,i m glad i went,1
469,was a close game,everyone started walking,0
470,everyone grandma s recipe was passed down but it,she would spend mixing ingredients to the recipe,1
471,everyone grandma s recipe was passed down but it,carving pumpkins has been a family tradition,0
472,she would spend mixing ingredients to the recipe,she heated the oven to just the right temperature,1
473,she would spend mixing ingredients to the recipe,started to make aluminum sculptures,0
474,it was time for the actors,took,1
475,it was time for the actors,we,0
476,took,was nt too,1
477,took,the spotter directs the sniper where to shoot,0
478,we decided to go to the amusement part,the kids were able to pass,1
479,we decided to go to the amusement part,i got to the ceremony,0
480,the kids were able to pass,some of the rides were very loopy,1
481,some of the rides were very loopy,or scary,1
482,some of the rides were very loopy,flower arrangements were available,0
483,or scary,were these,1
484,or scary,the boyfriend and girlfriend show off their drinks,0
485,we took the kids out to she,my little daughter was,1
486,my little daughter was,showing off his moves,1
487,my little daughter was,look at god s beauty,0
488,showing off his moves,photo,1
489,showing off his moves,the wedding was very beautiful,0
490,the wife brought flowers,the coworkers created a video to thank its ceo,1
491,the wife brought flowers,we went to the airport,0
492,the coworkers created a video to thank its ceo,the ceo announced his retirement,1
493,the coworkers created a video to thank its ceo,i took to corps the time,0
494,the ceo announced his retirement,his son would,1
495,the ceo announced his retirement,the cake,0
496,his son would,he,1
497,his son would,a soldier scopes out his enemies,0
498,looks like we re in the,the girls enjoying their time,1
499,looks like we re in the,the people are on to a funeral,0
500,an anti  onion,can watch the,1
501,an anti  onion,my favorite band has a guitarist,0
502,can watch the,she s,1
503,can watch the,everyone grandma s recipe was passed down but it,0
504,the band played a melody,there were even supporters,1
505,the band played a melody,there is a long drive to the party,0
506,there were even supporters,the event was very loud and important,1
507,there were even supporters,the couple decided to get and go out for the day,0
508,the event was very loud and important,we saw a member of a church,1
509,the event was very loud and important,kat and  know how to put on a party,0
510,we saw a member of a church,somebody is they can make,1
511,we saw a member of a church,i found a basket of bread,0
512,i woke up i was really hungry,i decided to go and grab some breakfast,1
513,i woke up i was really hungry,i got to the recording studio,0
514,i decided to go and grab some breakfast,i had to walk to the restaurant,1
515,the people are on to a funeral,the lady is crying because of the death of a member,1
516,the people are on to a funeral,they were trying to teach dad how to use his laptop,0
517,the lady is crying because of the death of a member,the burial spot has been dugg,1
518,the lady is crying because of the death of a member,the wedding reception was a blast,0
519,the burial spot has been dugg,the two little ladies is talking about the death,1
520,the burial spot has been dugg,the eyeballs were cooked ,0
521,the two little ladies is talking about the death,is preaching the last anfdfinal words of the funeral,1
522,the two little ladies is talking about the death,a soldier scopes out his enemies,0
523,friends gathered for a party,some of the costumes showed effort on the part of some of the party goers,1
524,friends gathered for a party,uncle,0
525,some of the costumes showed effort on the part of some of the party goers,party goers did not have costumes,1
526,some of the costumes showed effort on the part of some of the party goers,there were lots of neat things to take pictures to the country,0
527,party goers did not have costumes,there were the people who tried to put on a good show and,1
528,party goers did not have costumes,and wedding,0
529,there were the people who tried to put on a good show and,a group put  living up to the spirit of the halloween party,1
530,there were the people who tried to put on a good show and,halloween was interesting  dressing up,0
531,are on rules and regulations,the committee we are getting ready to talk,1
532,are on rules and regulations,every year there is a lobster festival,0
533,the committee we are getting ready to talk,speakers take the stage,1
534,the committee we are getting ready to talk,the chalkboard was written on,0
535,speakers take the stage,the board starts to make a,1
536,speakers take the stage,my local football team was playing,0
537,my first party in the,there was a band called very loud band,1
538,my first party in the,my family came into town,0
539,there was a band called very loud band,my,1
540,there was a band called very loud band,this was the first thing,0
541,my,she took my the,1
542,my,my friend threw a party,0
543,screamed,until passed out,1
544,screamed,on a ,0
545,the man is for a walk,he notices some graffiti on the walls,1
546,the man is for a walk,a sign laid street with the words,0
547,he notices some graffiti on the walls,he stops to pet a dog,1
548,he notices some graffiti on the walls,the family has the baby,0
549,he stops to pet a dog,he continues to notice more graffiti,1
550,he continues to notice more graffiti,he walks through,1
551,he continues to notice more graffiti,is this vacation house  not the thing,0
552,were preparing for the night,the guests enjoyed alcohol we brought,1
553,were preparing for the night,went on adventure,0
554,the guests enjoyed alcohol we brought,this couple got intimate at night,1
555,the guests enjoyed alcohol we brought,his friends,0
556,this was my graduation program,the graduating class was small,1
557,this was my graduation program,started to make aluminum sculptures,0
558,the graduating class was small,i was so happy to get my degree,1
559,the graduating class was small,the japanese tech show had toys,0
560,i was so happy to get my degree,my hard work was realized,1
561,i was so happy to get my degree,everything was so rustic in the new car,0
562,my hard work was realized,i could not be more proud,1
563,my hard work was realized,re  enactors show their costumes,0
564,rained,the protesters decided to carry on with their mission,1
565,rained,the military is proud to hold its graduation spoke,0
566,the protesters decided to carry on with their mission,races and religions joined in,1
567,the protesters decided to carry on with their mission,we went to a wedding,0
568,races and religions joined in,a coffin was brought out and a speech was made,1
569,races and religions joined in,he could nt stay,0
570,a coffin was brought out and a speech was made,they strung up a banner over as a metaphoric example,1
571,a coffin was brought out and a speech was made,today was the day,0
572,i got on the horse with my friend,someone had fallen,1
573,i got on the horse with my friend,i love to go on nature walks,0
574,someone had fallen,their horse had tripped over,1
575,someone had fallen,i met a girl in an game,0
576,their horse had tripped over,we stopped practicing to see she,1
577,their horse had tripped over,the wedding day had arrived ,0
578,we stopped practicing to see she,she seemed to be fine and just upset,1
579,we stopped practicing to see she,it s time for graduation day,0
580,it is and the flowers are open,love how the colors of red are used in location town,1
581,love how the colors of red are used in location town,this is one the day,1
582,love how the colors of red are used in location town,it was the tie the,0
583,this is one the day,you can find many old machines,1
584,this is one the day,a picture of the market from above,0
585,you can find many old machines,the near see the chinese decorations displayed,1
586,you can find many old machines,a storm was coming to the area,0
587,every year my family gets together for a reunion of sorts,we start the day planning,1
588,every year my family gets together for a reunion of sorts,i came to my friends wedding  heels,0
589,we start the day planning,we decided to them build bird houses,1
590,we start the day planning,there was a high risk of flooding so the organization organization met,0
